시도별,GRDP,year,1인당_사교육비(만 원),인구수
서울,20857,2015,35.5,9904312
부산,17044,2015,27.6,3448737
대구,17226,2015,26.8,2466052
인천,16598,2015,22.9,2890451
광주,17459,2015,27.2,1502881
대전,18229,2015,27.3,1538394
울산,21348,2015,26.2,1166615
세종,21957,2015,22.1,204088
경기,18069,2015,30.0,12479061
강원,16311,2015,21.2,1518040
충북,16531,2015,21.4,1589347
충남,16703,2015,19.9,2107802
전북,16239,2015,24.0,1834114
전남,16067,2015,21.2,1799044
경북,16550,2015,22.6,2680294
경남,17411,2015,24.0,3334524
제주,16685,2015,23.6,605619
서울,21295,2016,37.0,9805506
부산,17525,2016,29.2,3440484
대구,17848,2016,26.3,2461002
인천,17222,2016,23.6,2913024
광주,18232,2016,25.1,1501557
대전,18741,2016,29.0,1535445
울산,21422,2016,25.5,1166033
세종,21000,2016,24.1,242507
경기,18611,2016,29.7,12671956
강원,16798,2016,21.6,1521751
충북,16915,2016,22.6,1603404
충남,16952,2016,18.8,2132566
전북,16499,2016,21.4,1833168
전남,16528,2016,19.1,1796017
경북,16894,2016,22.5,2682169
경남,17744,2016,22.2,3339633
제주,17366,2016,26.9,623332
서울,22237,2017,41.7,9741871
부산,18189,2017,33.5,3416918
대구,18350,2017,30.6,2453041
인천,17884,2017,22.8,2925967
광주,18926,2017,27.6,1496172
대전,19314,2017,24.7,1525849
울산,21956,2017,26.1,1157077
세종,21404,2017,32.0,276589
경기,19375,2017,29.4,12851601
강원,17484,2017,22.0,1521386
충북,17465,2017,22.1,1611009
충남,17788,2017,20.2,2162426
전북,17059,2017,25.3,1826174
전남,17043,2017,19.5,1792319
경북,17428,2017,26.4,2677058
경남,18011,2017,23.7,3345293
제주,17816,2017,26.0,641757
서울,23323,2018,41.5,9673936
부산,18868,2018,31.6,3395278
대구,18555,2018,33.2,2444412
인천,18659,2018,30.0,2936117
광주,19868,2018,31.0,1490092
대전,19649,2018,29.3,1511214
울산,21655,2018,29.1,1150116
세종,20990,2018,33.4,312374
경기,19907,2018,33.2,13103188
강원,18450,2018,25.5,1520391
충북,18440,2018,29.1,1620935
충남,18458,2018,20.2,2181416
전북,18141,2018,24.5,1818157
전남,18207,2018,22.0,1790352
경북,18185,2018,26.4,2672902
경남,18466,2018,22.6,3350350
제주,18456,2018,28.2,658282
서울,23978,2019,46.3,9639541
부산,19723,2019,32.5,3372692
대구,19196,2019,34.2,2429940
인천,19582,2019,33.4,2952237
광주,20791,2019,31.9,1489730
대전,20648,2019,31.7,1498839
울산,22617,2019,30.3,1143692
세종,20674,2019,40.2,338136
경기,20746,2019,35.7,13300900
강원,19174,2019,20.9,1520127
충북,18989,2019,25.9,1629343
충남,19216,2019,28.1,2188649
전북,18941,2019,27.6,1807423
전남,19072,2019,22.6,1787543
경북,18748,2019,25.7,2668154
경남,19078,2019,28.9,3347209
제주,18815,2019,29.8,665048
서울,24226,2020,49.2,9586195
부산,20460,2020,34.0,3349016
대구,20229,2020,34.4,2410700
인천,20310,2020,32.9,2945454
광주,21591,2020,33.2,1477573
대전,21707,2020,34.9,1488435
울산,23863,2020,31.0,1135423
세종,21407,2020,37.2,353933
경기,21220,2020,35.7,13511676
강원,20267,2020,23.3,1521763
충북,20029,2020,25.7,1632088
충남,20393,2020,21.1,2176636
전북,19991,2020,26.3,1802766
전남,19873,2020,23.0,1788807
경북,19798,2020,27.2,2644757
경남,19759,2020,28.1,3333056
제주,19954,2020,28.9,670858
서울,25256,2021,52.6,9472127
부산,21352,2021,42.1,3324335
대구,21046,2021,42.2,2387911
인천,21317,2021,38.9,2957044
광주,22472,2021,37.4,1475262
대전,22730,2021,35.3,1479740
울산,25165,2021,34.0,1120753
세종,22061,2021,40.6,366227
경기,21937,2021,42.2,13652529
강원,21038,2021,28.9,1521890
충북,21081,2021,28.7,1624764
충남,21262,2021,29.2,2175960
전북,20862,2021,30.0,1787053
전남,20881,2021,25.6,1778124
경북,20667,2021,31.6,2635314
경남,20650,2021,29.8,3305931
제주,20475,2021,34.2,673107
