"시군구별(1)","시점",지역내총생산(시장가격)
"시군구별(1)","시점",당해년가격
"춘천시","2015",6460226
"춘천시","2016",7150569
"춘천시","2017",7481252
"춘천시","2018",7735704
"춘천시","2019",8072972
"원주시","2015",8002253
"원주시","2016",8511449
"원주시","2017",8998662
"원주시","2018",9534591
"원주시","2019",9665618
"강릉시","2015",4740366
"강릉시","2016",5019567
"강릉시","2017",5295106
"강릉시","2018",5326931
"강릉시","2019",5651552
"동해시","2015",2798341
"동해시","2016",2733073
"동해시","2017",3047017
"동해시","2018",3161368
"동해시","2019",3249883
"태백시","2015",912119
"태백시","2016",943292
"태백시","2017",978689
"태백시","2018",978447
"태백시","2019",1107817
"속초시","2015",1401515
"속초시","2016",1547535
"속초시","2017",1710435
"속초시","2018",1740238
"속초시","2019",1931948
"삼척시","2015",2668720
"삼척시","2016",2337032
"삼척시","2017",2369474
"삼척시","2018",2383505
"삼척시","2019",2605220
"홍천군","2015",2109757
"홍천군","2016",2240933
"홍천군","2017",2371318
"홍천군","2018",2488347
"홍천군","2019",2471133
"횡성군","2015",1519023
"횡성군","2016",1557368
"횡성군","2017",1595133
"횡성군","2018",1667936
"횡성군","2019",1730581
"영월군","2015",1153672
"영월군","2016",1214014
"영월군","2017",1238001
"영월군","2018",1304256
"영월군","2019",1335637
"평창군","2015",1406792
"평창군","2016",1691908
"평창군","2017",1818752
"평창군","2018",1498308
"평창군","2019",1411244
"정선군","2015",1212651
"정선군","2016",1338379
"정선군","2017",1423952
"정선군","2018",1444017
"정선군","2019",1381354
"철원군","2015",1556122
"철원군","2016",1619265
"철원군","2017",1741189
"철원군","2018",1778940
"철원군","2019",1890783
"화천군","2015",1134705
"화천군","2016",1179800
"화천군","2017",1251925
"화천군","2018",1345860
"화천군","2019",1418076
"양구군","2015",768477
"양구군","2016",805195
"양구군","2017",850230
"양구군","2018",951402
"양구군","2019",1017843
"인제군","2015",1260772
"인제군","2016",1351260
"인제군","2017",1413310
"인제군","2018",1494404
"인제군","2019",1615182
"고성군","2015",900623
"고성군","2016",942735
"고성군","2017",984633
"고성군","2018",1051002
"고성군","2019",1194471
"양양군","2015",861852
"양양군","2016",895285
"양양군","2017",942653
"양양군","2018",1040540
"양양군","2019",1071329
