"행정구역(시·군)별","시점",지역내총생산(시장가격)
"행정구역(시·군)별","시점",당해년가격
"수원시","2015",30963276
"수원시","2016",31802827
"수원시","2017",33949983
"수원시","2018",35441134
"수원시","2019",36621012
"성남시","2015",37687633
"성남시","2016",39561196
"성남시","2017",40981113
"성남시","2018",42307526
"성남시","2019",44085982
"의정부시","2015",5560895
"의정부시","2016",6218546
"의정부시","2017",6930126
"의정부시","2018",7350069
"의정부시","2019",7473255
"안양시","2015",15525029
"안양시","2016",16244293
"안양시","2017",17272844
"안양시","2018",18138376
"안양시","2019",18953542
"부천시","2015",15833160
"부천시","2016",16514511
"부천시","2017",16957907
"부천시","2018",17462247
"부천시","2019",17561534
"광명시","2015",7011796
"광명시","2016",7366541
"광명시","2017",7569890
"광명시","2018",8116318
"광명시","2019",7756108
"평택시","2015",24535672
"평택시","2016",26501831
"평택시","2017",30872853
"평택시","2018",33792725
"평택시","2019",32021073
"동두천시","2015",1870134
"동두천시","2016",1908968
"동두천시","2017",1885613
"동두천시","2018",1768912
"동두천시","2019",1818825
"안산시","2015",23708345
"안산시","2016",24371695
"안산시","2017",26394538
"안산시","2018",26110913
"안산시","2019",25768170
"고양시","2015",17085215
"고양시","2016",18551297
"고양시","2017",20124858
"고양시","2018",21542187
"고양시","2019",21702354
"과천시","2015",4378579
"과천시","2016",4733242
"과천시","2017",4701605
"과천시","2018",4783175
"과천시","2019",4780609
"구리시","2015",3029305
"구리시","2016",3256155
"구리시","2017",3491071
"구리시","2018",3722338
"구리시","2019",3598393
"남양주시","2015",8400958
"남양주시","2016",9327965
"남양주시","2017",10154496
"남양주시","2018",10974908
"남양주시","2019",11526940
"오산시","2015",4475187
"오산시","2016",4887579
"오산시","2017",5406400
"오산시","2018",5649896
"오산시","2019",5720968
"시흥시","2015",13915814
"시흥시","2016",14930840
"시흥시","2017",15941674
"시흥시","2018",16210910
"시흥시","2019",16198603
"군포시","2015",6089813
"군포시","2016",6686773
"군포시","2017",7259215
"군포시","2018",7487177
"군포시","2019",7536001
"의왕시","2015",3048257
"의왕시","2016",2979250
"의왕시","2017",3487412
"의왕시","2018",3823873
"의왕시","2019",4025885
"하남시","2015",4828260
"하남시","2016",5178589
"하남시","2017",5602795
"하남시","2018",6491728
"하남시","2019",6919187
"용인시","2015",28667356
"용인시","2016",30792811
"용인시","2017",33425175
"용인시","2018",30520652
"용인시","2019",30181677
"파주시","2015",17980185
"파주시","2016",18985266
"파주시","2017",20970593
"파주시","2018",20964078
"파주시","2019",20602333
"이천시","2015",14418388
"이천시","2016",14531375
"이천시","2017",18083762
"이천시","2018",24581118
"이천시","2019",21552715
"안성시","2015",7774317
"안성시","2016",8109327
"안성시","2017",8891671
"안성시","2018",9363646
"안성시","2019",9405296
"김포시","2015",10288273
"김포시","2016",11420305
"김포시","2017",12273913
"김포시","2018",13296398
"김포시","2019",13970412
"화성시","2015",47545964
"화성시","2016",52930086
"화성시","2017",68085358
"화성시","2018",77734006
"화성시","2019",74532143
"광주시","2015",7841731
"광주시","2016",8962932
"광주시","2017",9395522
"광주시","2018",9658391
"광주시","2019",9766402
"양주시","2015",5548441
"양주시","2016",5976217
"양주시","2017",6259954
"양주시","2018",6614566
"양주시","2019",6760601
"포천시","2015",6164944
"포천시","2016",6442729
"포천시","2017",6651014
"포천시","2018",6705276
"포천시","2019",6872305
"여주시","2015",3388116
"여주시","2016",3597950
"여주시","2017",3557251
"여주시","2018",3880745
"여주시","2019",4122573
"연천군","2015",1313318
"연천군","2016",1285750
"연천군","2017",1311552
"연천군","2018",1525901
"연천군","2019",1735036
"가평군","2015",1494257
"가평군","2016",1601945
"가평군","2017",1698550
"가평군","2018",1831625
"가평군","2019",1814241
"양평군","2015",1605688
"양평군","2016",1778738
"양평군","2017",1837712
"양평군","2018",1971375
"양평군","2019",2029277
