"시군구별(1)","시점",지역내총생산(시장가격)
"시군구별(1)","시점",당해년가격 (백만원)
"창원시","2015",36565204
"창원시","2016",36864670
"창원시","2017",37504782
"창원시","2018",38838176
"창원시","2019",39860038
"진주시","2015",7094810
"진주시","2016",7820266
"진주시","2017",8217596
"진주시","2018",8412605
"진주시","2019",8643663
"통영시","2015",3692983
"통영시","2016",3856704
"통영시","2017",3322241
"통영시","2018",3059771
"통영시","2019",3096258
"사천시","2015",4082992
"사천시","2016",4226261
"사천시","2017",4096220
"사천시","2018",4339377
"사천시","2019",4619158
"김해시","2015",15064592
"김해시","2016",15229177
"김해시","2017",15681224
"김해시","2018",15827827
"김해시","2019",16058319
"밀양시","2015",2688732
"밀양시","2016",2756863
"밀양시","2017",2893243
"밀양시","2018",3008573
"밀양시","2019",3160717
"거제시","2015",10996802
"거제시","2016",11144606
"거제시","2017",10168912
"거제시","2018",8948449
"거제시","2019",9535962
"양산시","2015",9807353
"양산시","2016",10431481
"양산시","2017",10318896
"양산시","2018",10727181
"양산시","2019",10952945
"의령군","2015",824993
"의령군","2016",853379
"의령군","2017",893333
"의령군","2018",939165
"의령군","2019",955750
"함안군","2015",3445542
"함안군","2016",3588541
"함안군","2017",3788138
"함안군","2018",3831466
"함안군","2019",4003332
"창녕군","2015",2275498
"창녕군","2016",2379395
"창녕군","2017",2501469
"창녕군","2018",2714984
"창녕군","2019",2786570
"고성군","2015",2450129
"고성군","2016",2363817
"고성군","2017",2222183
"고성군","2018",2092947
"고성군","2019",2249551
"남해군","2015",977764
"남해군","2016",1017806
"남해군","2017",1062429
"남해군","2018",1102116
"남해군","2019",1123864
"하동군","2015",2255074
"하동군","2016",2358546
"하동군","2017",2239641
"하동군","2018",2123904
"하동군","2019",2141813
"산청군","2015",925406
"산청군","2016",945172
"산청군","2017",982728
"산청군","2018",1038297
"산청군","2019",1056199
"함양군","2015",910951
"함양군","2016",951994
"함양군","2017",993918
"함양군","2018",1012785
"함양군","2019",1051194
"거창군","2015",1451454
"거창군","2016",1506123
"거창군","2017",1519671
"거창군","2018",1582053
"거창군","2019",1599712
"합천군","2015",1080656
"합천군","2016",1043389
"합천군","2017",1085558
"합천군","2018",1120522
"합천군","2019",1125887
