"행정구역별(시군)","시점",지역내총생산(시장가격)
"행정구역별(시군)","시점",당해년 가격 (백만원)
"포항시","2015",16587811
"포항시","2016",16832213
"포항시","2017",18262287
"포항시","2018",18577440
"포항시","2019",19296003
"경주시","2015",9960756
"경주시","2016",10788832
"경주시","2017",10435597
"경주시","2018",10170999
"경주시","2019",10550480
"김천시","2015",4964756
"김천시","2016",5278287
"김천시","2017",5287573
"김천시","2018",5528117
"김천시","2019",5457629
"안동시","2015",3248266
"안동시","2016",4374643
"안동시","2017",4450569
"안동시","2018",4898006
"안동시","2019",5489203
"구미시","2015",34732664
"구미시","2016",35560024
"구미시","2017",36068854
"구미시","2018",33860074
"구미시","2019",28938854
"영주시","2015",2784874
"영주시","2016",2682658
"영주시","2017",2920393
"영주시","2018",3005261
"영주시","2019",3104536
"영천시","2015",3258783
"영천시","2016",3478398
"영천시","2017",3457558
"영천시","2018",3620926
"영천시","2019",3770337
"상주시","2015",2196807
"상주시","2016",2300239
"상주시","2017",2242733
"상주시","2018",2158129
"상주시","2019",2388160
"문경시","2015",1431745
"문경시","2016",1489604
"문경시","2017",1564029
"문경시","2018",1678535
"문경시","2019",1637905
"경산시","2015",7231040
"경산시","2016",7523611
"경산시","2017",7666389
"경산시","2018",7793697
"경산시","2019",8594507
"군위군","2015",764963
"군위군","2016",808467
"군위군","2017",813431
"군위군","2018",817747
"군위군","2019",802975
"의성군","2015",1229888
"의성군","2016",1248065
"의성군","2017",1205112
"의성군","2018",1291476
"의성군","2019",1350418
"청송군","2015",692663
"청송군","2016",687372
"청송군","2017",665578
"청송군","2018",714079
"청송군","2019",804201
"영양군","2015",373745
"영양군","2016",441207
"영양군","2017",451749
"영양군","2018",401808
"영양군","2019",408518
"영덕군","2015",801844
"영덕군","2016",780566
"영덕군","2017",804478
"영덕군","2018",778714
"영덕군","2019",849963
"청도군","2015",1003464
"청도군","2016",1024597
"청도군","2017",1012459
"청도군","2018",1021327
"청도군","2019",1043216
"고령군","2015",1358292
"고령군","2016",1349229
"고령군","2017",1452684
"고령군","2018",1506063
"고령군","2019",1474060
"성주군","2015",1608489
"성주군","2016",1773532
"성주군","2017",2052300
"성주군","2018",1829546
"성주군","2019",1778458
"칠곡군","2015",3877013
"칠곡군","2016",4072406
"칠곡군","2017",4293070
"칠곡군","2018",4283321
"칠곡군","2019",4275377
"예천군","2015",1033787
"예천군","2016",1115032
"예천군","2017",1160648
"예천군","2018",1194195
"예천군","2019",1163121
"봉화군","2015",979520
"봉화군","2016",985253
"봉화군","2017",1010072
"봉화군","2018",1023584
"봉화군","2019",1105448
"울진군","2015",2718777
"울진군","2016",2575115
"울진군","2017",2463143
"울진군","2018",2311155
"울진군","2019",2222383
"울릉군","2015",280227
"울릉군","2016",271259
"울릉군","2017",287017
"울릉군","2018",318439
"울릉군","2019",299708
