"시군구별","시점",지역내총생산(시장가격)
"시군구별","시점",당해년가격
"동구","2015",3003018
"동구","2016",3261257
"동구","2017",3510144
"동구","2018",3728901
"동구","2019",3650708
"서구","2015",8709905
"서구","2016",9554545
"서구","2017",9328293
"서구","2018",10096608
"서구","2019",10587701
"남구","2015",2814024
"남구","2016",2836235
"남구","2017",2906857
"남구","2018",3127038
"남구","2019",3302379
"북구","2015",8669015
"북구","2016",9149277
"북구","2017",9564923
"북구","2018",9955766
"북구","2019",10459568
"광산구","2015",11649626
"광산구","2016",12017691
"광산구","2017",12433700
"광산구","2018",12897093
"광산구","2019",13519198
