"시점","시군구별(1)",지역내총생산(시장가격)
"시점","시군구별(1)",실질
"2015","중구",5027892
"2015","동구",6376313
"2015","서구",3206379
"2015","남구",2336750
"2015","북구",9787970
"2015","수성구",6955681
"2015","달서구",11014202
"2015","달성군",7116825
"2016","중구",5048750
"2016","동구",6120449
"2016","서구",3274495
"2016","남구",2338426
"2016","북구",9622149
"2016","수성구",7278264
"2016","달서구",10963071
"2016","달성군",7178298
"2017","중구",5041902
"2017","동구",6818653
"2017","서구",3373284
"2017","남구",2624437
"2017","북구",9767546
"2017","수성구",7035016
"2017","달서구",10995266
"2017","달성군",7067326
"2018","중구",5145715
"2018","동구",6723325
"2018","서구",3379325
"2018","남구",2787943
"2018","북구",10272214
"2018","수성구",7228936
"2018","달서구",11159079
"2018","달성군",7268108
"2019","중구",5070603
"2019","동구",7338331
"2019","서구",3404971
"2019","남구",3009831
"2019","북구",9884231
"2019","수성구",7544102
"2019","달서구",11498434
"2019","달성군",7012118
