"시군구별","시점",지역내총생산(시장가격)
"시군구별","시점",당해년가격
"동구","2015",3062106
"동구","2016",3316367
"동구","2017",3360270
"동구","2018",3503333
"동구","2019",3686416
"중구","2015",4305462
"중구","2016",4600637
"중구","2017",4737424
"중구","2018",4902752
"중구","2019",5085859
"서구","2015",10677653
"서구","2016",11116724
"서구","2017",11743369
"서구","2018",12044862
"서구","2019",12714786
"유성구","2015",11457701
"유성구","2016",12300508
"유성구","2017",12996543
"유성구","2018",13577362
"유성구","2019",14019944
"대덕구","2015",7659692
"대덕구","2016",8000787
"대덕구","2017",7699618
"대덕구","2018",7280039
"대덕구","2019",7585213
