"시군구별(1)","시점",지역내총생산(시장가격)
"시군구별(1)","시점",당해년가격
"중구","2015",3106284
"중구","2016",3269729
"중구","2017",3102572
"중구","2018",2973236
"중구","2019",3119522
"서구","2015",3039215
"서구","2016",3131976
"서구","2017",3155204
"서구","2018",3287309
"서구","2019",2977265
"동구","2015",4203262
"동구","2016",4210995
"동구","2017",4731722
"동구","2018",4552679
"동구","2019",4768625
"영도구","2015",2123839
"영도구","2016",2373113
"영도구","2017",2540393
"영도구","2018",2642385
"영도구","2019",2731839
"부산진구","2015",7185291
"부산진구","2016",7757805
"부산진구","2017",8192376
"부산진구","2018",8516260
"부산진구","2019",8886673
"동래구","2015",3650774
"동래구","2016",3793172
"동래구","2017",3934188
"동래구","2018",4063079
"동래구","2019",4097686
"남구","2015",5314016
"남구","2016",5286229
"남구","2017",5772151
"남구","2018",5708284
"남구","2019",5649213
"북구","2015",2856278
"북구","2016",2981371
"북구","2017",3013728
"북구","2018",3125859
"북구","2019",3116148
"해운대구","2015",7083307
"해운대구","2016",7434863
"해운대구","2017",8277548
"해운대구","2018",8845460
"해운대구","2019",9503602
"사하구","2015",6538217
"사하구","2016",6886885
"사하구","2017",6985761
"사하구","2018",6900352
"사하구","2019",7190129
"금정구","2015",4332302
"금정구","2016",4350242
"금정구","2017",4619023
"금정구","2018",4492619
"금정구","2019",4626781
"강서구","2015",12953821
"강서구","2016",12944025
"강서구","2017",12637730
"강서구","2018",13354327
"강서구","2019",14481984
"연제구","2015",5605244
"연제구","2016",6121841
"연제구","2017",6455583
"연제구","2018",6744687
"연제구","2019",6880899
"수영구","2015",2361267
"수영구","2016",2425284
"수영구","2017",2555115
"수영구","2018",2575439
"수영구","2019",2789695
"사상구","2015",7090343
"사상구","2016",7008698
"사상구","2017",6750783
"사상구","2018",6760826
"사상구","2019",6567881
"기장군","2015",5258037
"기장군","2016",5560120
"기장군","2017",5111724
"기장군","2018",5437095
"기장군","2019",5624192
