"구군별","시점",지역내총생산(시장가격)
"구군별","시점",당해년가격 (백만원)
"중구","2015",3987857
"중구","2016",4546377
"중구","2017",4227727
"중구","2018",4292144
"중구","2019",4870330
"남구","2015",28394201
"남구","2016",29288463
"남구","2017",30572758
"남구","2018",30758240
"남구","2019",28681406
"동구","2015",10090065
"동구","2016",10329372
"동구","2017",10444265
"동구","2018",9408781
"동구","2019",8443353
"북구","2015",11200836
"북구","2016",11176434
"북구","2017",10684801
"북구","2018",10724314
"북구","2019",13962650
"울주군","2015",19181449
"울주군","2016",19320196
"울주군","2017",19820519
"울주군","2018",18464057
"울주군","2019",18696889
