"시군구별","시점",지역내총생산(시장가격)
"시군구별","시점",당해년가격(실질)
"강화군","2015",1254585
"강화군","2016",1356992
"강화군","2017",1456312
"강화군","2018",1649168
"강화군","2019",1710277
"옹진군","2015",595780
"옹진군","2016",675228
"옹진군","2017",700977
"옹진군","2018",694440
"옹진군","2019",720882
"중구","2015",13455131
"중구","2016",14426713
"중구","2017",14508857
"중구","2018",14559776
"중구","2019",14798640
"동구","2015",3143586
"동구","2016",3131607
"동구","2017",3462433
"동구","2018",3499343
"동구","2019",3470143
"미추홀구","2015",6412989
"미추홀구","2016",6653343
"미추홀구","2017",6966050
"미추홀구","2018",6976354
"미추홀구","2019",7129517
"연수구","2015",9058324
"연수구","2016",9640099
"연수구","2017",10536805
"연수구","2018",11300722
"연수구","2019",11861076
"남동구","2015",15137036
"남동구","2016",15503392
"남동구","2017",16342258
"남동구","2018",16079177
"남동구","2019",16240920
"부평구","2015",9654629
"부평구","2016",10380786
"부평구","2017",10677427
"부평구","2018",10495350
"부평구","2019",10352522
"계양구","2015",4119440
"계양구","2016",4235268
"계양구","2017",4504251
"계양구","2018",4530580
"계양구","2019",4913797
"서구","2015",17306008
"서구","2016",18659906
"서구","2017",19391995
"서구","2018",18950490
"서구","2019",18842726
