"시군구별","시점",지역내총생산(시장가격)
"시군구별","시점",당해년가격 (백만원)
"목포시","2015",3797895
"목포시","2016",3909811
"목포시","2017",4100412
"목포시","2018",4222818
"목포시","2019",4530502
"여수시","2015",23847547
"여수시","2016",24923569
"여수시","2017",26114992
"여수시","2018",26408107
"여수시","2019",25870664
"순천시","2015",5391395
"순천시","2016",5841618
"순천시","2017",5963037
"순천시","2018",6084240
"순천시","2019",6125012
"나주시","2015",3842302
"나주시","2016",4061975
"나주시","2017",4286389
"나주시","2018",4381126
"나주시","2019",4903816
"광양시","2015",9431290
"광양시","2016",9112426
"광양시","2017",9440656
"광양시","2018",9688279
"광양시","2019",10060287
"담양군","2015",1219135
"담양군","2016",1279622
"담양군","2017",1255817
"담양군","2018",1338706
"담양군","2019",1424619
"곡성군","2015",963998
"곡성군","2016",984646
"곡성군","2017",935487
"곡성군","2018",954984
"곡성군","2019",998105
"구례군","2015",554602
"구례군","2016",559850
"구례군","2017",544652
"구례군","2018",553644
"구례군","2019",575442
"고흥군","2015",1258868
"고흥군","2016",1283774
"고흥군","2017",1368125
"고흥군","2018",1355894
"고흥군","2019",1470217
"보성군","2015",811238
"보성군","2016",858477
"보성군","2017",855587
"보성군","2018",942601
"보성군","2019",996309
"화순군","2015",1596293
"화순군","2016",1548525
"화순군","2017",1588082
"화순군","2018",1559249
"화순군","2019",1760151
"장흥군","2015",807614
"장흥군","2016",895256
"장흥군","2017",921845
"장흥군","2018",992227
"장흥군","2019",1011194
"강진군","2015",756149
"강진군","2016",777057
"강진군","2017",826475
"강진군","2018",886144
"강진군","2019",892176
"해남군","2015",1688970
"해남군","2016",1874173
"해남군","2017",2145735
"해남군","2018",2064661
"해남군","2019",2119933
"영암군","2015",3144676
"영암군","2016",3260031
"영암군","2017",2789532
"영암군","2018",2899669
"영암군","2019",3238786
"무안군","2015",2560963
"무안군","2016",2757494
"무안군","2017",2795057
"무안군","2018",2997313
"무안군","2019",3217377
"함평군","2015",833345
"함평군","2016",831278
"함평군","2017",890785
"함평군","2018",935405
"함평군","2019",961784
"영광군","2015",2210161
"영광군","2016",2521594
"영광군","2017",2256694
"영광군","2018",2335811
"영광군","2019",1871035
"장성군","2015",1608654
"장성군","2016",1700150
"장성군","2017",1765692
"장성군","2018",1791993
"장성군","2019",1857218
"완도군","2015",951791
"완도군","2016",1008893
"완도군","2017",1056182
"완도군","2018",1094448
"완도군","2019",1125739
"진도군","2015",693594
"진도군","2016",678448
"진도군","2017",817225
"진도군","2018",825791
"진도군","2019",889973
"신안군","2015",907897
"신안군","2016",946734
"신안군","2017",1013944
"신안군","2018",1111474
"신안군","2019",1047940
