"시군구별","시점",지역내총생산(시장가격)
"시군구별","시점",당해년가격
"천안시","2015",22348506
"천안시","2016",23705095
"천안시","2017",26008917
"천안시","2018",26165157
"천안시","2019",24152775
"공주시","2015",3197369
"공주시","2016",3479922
"공주시","2017",3613380
"공주시","2018",3628228
"공주시","2019",3712791
"보령시","2015",4139826
"보령시","2016",4109369
"보령시","2017",4248901
"보령시","2018",3901118
"보령시","2019",4234257
"아산시","2015",23656597
"아산시","2016",26324127
"아산시","2017",30788562
"아산시","2018",30218688
"아산시","2019",28971663
"서산시","2015",15509556
"서산시","2016",16369603
"서산시","2017",17637719
"서산시","2018",17793365
"서산시","2019",18138852
"논산시","2015",3539582
"논산시","2016",3663996
"논산시","2017",3662308
"논산시","2018",3790489
"논산시","2019",4080662
"계룡시","2015",1352188
"계룡시","2016",1458295
"계룡시","2017",1467238
"계룡시","2018",1534152
"계룡시","2019",1507709
"당진시","2015",11675103
"당진시","2016",11358068
"당진시","2017",11479492
"당진시","2018",11630730
"당진시","2019",11384432
"금산군","2015",2260575
"금산군","2016",2182095
"금산군","2017",2159249
"금산군","2018",2176282
"금산군","2019",2279225
"부여군","2015",1827253
"부여군","2016",1885057
"부여군","2017",1948200
"부여군","2018",2008286
"부여군","2019",1925260
"서천군","2015",1989613
"서천군","2016",2075817
"서천군","2017",1961117
"서천군","2018",2093446
"서천군","2019",2362739
"청양군","2015",1078537
"청양군","2016",1102221
"청양군","2017",1220603
"청양군","2018",1191448
"청양군","2019",1188159
"홍성군","2015",3070006
"홍성군","2016",3170913
"홍성군","2017",3195308
"홍성군","2018",3270406
"홍성군","2019",3349387
"예산군","2015",2674979
"예산군","2016",3014711
"예산군","2017",3229751
"예산군","2018",3254282
"예산군","2019",3323778
"태안군","2015",2979441
"태안군","2016",2969855
"태안군","2017",2936952
"태안군","2018",2878107
"태안군","2019",2876636
