"시군구별","시점",지역내총생산(시장가격)
"시군구별","시점",당해년가격
"청주시","2015",26988712
"청주시","2016",28986816
"청주시","2017",32907141
"청주시","2018",36038153
"청주시","2019",34965677
"충주시","2015",6082685
"충주시","2016",6624972
"충주시","2017",6975877
"충주시","2018",7618438
"충주시","2019",8091610
"제천시","2015",2949072
"제천시","2016",3023107
"제천시","2017",3123530
"제천시","2018",3174936
"제천시","2019",3264433
"보은군","2015",1010667
"보은군","2016",1077012
"보은군","2017",1184244
"보은군","2018",1173953
"보은군","2019",1110390
"옥천군","2015",1276876
"옥천군","2016",1294795
"옥천군","2017",1371319
"옥천군","2018",1369743
"옥천군","2019",1484119
"영동군","2015",1023376
"영동군","2016",982235
"영동군","2017",1017655
"영동군","2018",1043652
"영동군","2019",1078785
"증평군","2015",982825
"증평군","2016",985489
"증평군","2017",1078166
"증평군","2018",1140911
"증평군","2019",1104417
"진천군","2015",5881596
"진천군","2016",6565246
"진천군","2017",7095940
"진천군","2018",7398059
"진천군","2019",7614032
"괴산군","2015",1138380
"괴산군","2016",1243145
"괴산군","2017",1359992
"괴산군","2018",1312967
"괴산군","2019",1377991
"음성군","2015",6721431
"음성군","2016",7703800
"음성군","2017",8003556
"음성군","2018",8168801
"음성군","2019",8168872
"단양군","2015",1136012
"단양군","2016",1184616
"단양군","2017",1194947
"단양군","2018",1197262
"단양군","2019",1159310
