시도별,2014,2015,2016,2017,2018,2019,2020,2021
서울,34.9,35.5,37.0,41.7,41.5,46.3,49.2,52.6
부산,26.8,27.6,29.2,33.5,31.6,32.5,34.0,42.1
대구,26.7,26.8,26.3,30.6,33.2,34.2,34.4,42.2
인천,22.6,22.9,23.6,22.8,30.0,33.4,32.9,38.9
광주,27.3,27.2,25.1,27.6,31.0,31.9,33.2,37.4
대전,27.1,27.3,29.0,24.7,29.3,31.7,34.9,35.3
울산,25.4,26.2,25.5,26.1,29.1,30.3,31.0,34.0
세종,21.5,22.1,24.1,32.0,33.4,40.2,37.2,40.6
경기,29.1,30.0,29.7,29.4,33.2,35.7,35.7,42.2
강원,20.4,21.2,21.6,22.0,25.5,20.9,23.3,28.9
충북,21.6,21.4,22.6,22.1,29.1,25.9,25.7,28.7
충남,20.2,19.9,18.8,20.2,20.2,28.1,21.1,29.2
전북,23.4,24.0,21.4,25.3,24.5,27.6,26.3,30.0
전남,21.3,21.2,19.1,19.5,22.0,22.6,23.0,25.6
경북,22.5,22.6,22.5,26.4,26.4,25.7,27.2,31.6
경남,23.3,24.0,22.2,23.7,22.6,28.9,28.1,29.8
제주,22.8,23.6,26.9,26.0,28.2,29.8,28.9,34.2
